Year / Era,Main Title (Cleaned),Battle / Event,Views,Hook / Short Title,Thumbnail Description,Publish Date
Medieval,Germany's Most Renowned Free Company,Medieval Mercenaries,138000,German Great Company,Medieval German mercenary soldiers,1 year ago
911-609 BC,Warfare in the Neo-Assyrian Empire 911 BC—609 BC,Assyrian Warfare,159000,Terror as Strategy,Assyrian warrior on horseback,1 year ago
Medieval,The Norse Bodyguard of the Byzantine Emperors,Varangian Guard,118000,Varangian Guard,Norse warrior in Byzantine service,1 year ago
Medieval,The First Free Company in History (Catalan Grand Company),Catalan Company,141000,Catalan Grand Company,Medieval Catalan mercenary illustration,1 year ago
Medieval,The Golden Age of Free Companies,Medieval Mercenaries,428000,Golden Age Medieval Mercenaries,Medieval mercenary company illustration,1 year ago
845/885,Fact and Fiction: Both (Viking) Sieges of Paris 845 / 885,Sieges of Paris,330000,Both Viking Sieges of Paris,Viking warriors at fortress walls,1 year ago
Ottoman,Janissaries: The Ottoman Soldiers Recruited From Enslaved Christian Boys,Janissaries,204000,Child Levy Christian vs Janissary,Split illustration showing recruitment process,1 year ago
1500-1830,Barbary Pirates: The Masters of the Mediterranean Slave Trade 1500–1830,Barbary Pirates,166000,Barbary Corsairs,Barbary pirate with ships illustration,1 year ago
10000-221 BC,The Origins of War in Ancient China 10000 BC—221 BC,Ancient Chinese Warfare,338000,Ancient China 10000 BC-300 BC,Ancient Chinese warrior illustration,1 year ago
Ancient,The Earliest Sieges in History (and How they Worked),Early Sieges,278000,The First Fortresses in History,Ancient fortress siege illustration,1 year ago
Ancient,Historical Champion Warfare (and Why it Was Kinda Common),Champion Combat,312000,Historical Single Combat,Warriors in single combat illustration,1 year ago
5000-300 BC,The Origins of War in Ancient India 5000 BC—300 BC,Ancient Indian Warfare,306000,Ancient India 5000 BC-300 BC,Ancient Indian warrior illustration,2 years ago
Early Modern,Pike and Shot Warfare - The Spanish Tercio,Spanish Tercio,408000,End of Cavalry Superiority,Pike and shot formation illustration,2 years ago
Early Modern,Landsknechts: Some of the Most Sought-After Mercenaries of Early Modern Europe,Landsknechts,277000,Landsknechts,German Landsknecht mercenary illustration,2 years ago
Late Medieval,Swiss Mercenaries: The End of Cavalry Superiority in the Late Middle Ages,Swiss Mercenaries,669000,Swiss Mercenaries,Swiss pike formation illustration,2 years ago
17th-18th Century,The Highland Charge - The Famous Shock Tactic of the Scottish Clans,Highland Charge,529000,Highland Charge,Scottish Highland warriors charging,2 years ago
3500-1200 BC,Warfare in Ancient Egypt and Mesopotamia 3500 BC—1200 BC,Ancient Warfare,560000,The First Armies,Ancient Egyptian and Mesopotamian soldiers,2 years ago
500000-3000 BC,The Origins of War (500000 BC–3000 BC),Origins of Warfare,1600000,Origins of War,Prehistoric warriors illustration,2 years ago
1650-1815,Why the Bayonet Replaced Pike and Shot: From 1650 to the Napoleonic Wars,Bayonet Warfare,606000,The Rise of the Bayonet,Bayonet-equipped soldiers illustration,2 years ago
10th Century,Byzantine Military Revolution: The Army That Brought the Empire to A Golden Age in the 10th Century,Byzantine Military,429000,Gigantism as Strategy,Byzantine soldiers illustration,2 years ago
Medieval,What Do We Know about Medieval Flame Throwers Known as Greek Fire,Greek Fire,153000,Medieval Flame Throwers Greek Fire,Greek fire weapon illustration,2 years ago
1632,5 (Great) Battles that Transformed the Thirty Years War in 1632 (Pt. 8),Thirty Years War Battles,163000,Five Great Battles of 1632,Battle scene from 1632,2 years ago
1630-1631,Sweden Intervenes in the Thirty Years War 1630/31 (Pt. 7),Swedish Intervention,181000,Swedish Intervention,Swedish soldiers in Thirty Years War,2 years ago
1628,7 (Great) Sieges that Transformed the Thirty Years War in 1628 (Pt. 6),Thirty Years War Sieges,141000,Seven Great Sieges of 1628,Siege illustration from 1628,2 years ago
